rank,family_id,family_name,evidence_track,primary_source_count,evidence_quality,daily_causality,free_data_feasibility,direct_plus_minus_one_fit,complexity,principal_failure_modes,priority_tier,reason_for_rank,candidate_count,top_candidate_ids
14,momentum_acceleration,Momentum acceleration,pre_2011_evidence,2,high_mechanism_or_method; direct_SPY_timing_evidence_varies,fully_specified_after_close_t,high,high; score/event maps symmetrically to persistent +1/-1,2,Highly correlated horizons can create redundant trials; canonical deduplication and cumulative multiplicity are mandatory.,B,Acceleration isolates change in directional drift rather than the level of momentum.,6,"[""V2STRAT0079"", ""V2STRAT0080""]"
15,sector_dispersion_state,Sector-dispersion conditioned SPY direction,pre_2011_evidence,1,high_mechanism_or_method; direct_SPY_timing_evidence_varies,fully_specified_after_close_t,medium_after_fixed_ETF_adapter,high; score/event maps symmetrically to persistent +1/-1,4,The mapping is a frozen hypothesis; high dispersion may instead signal healthy rotation rather than breakdown.,B,The rule continues the market direction under relatively coherent sectors and reverses it when dispersion is unusually high.,6,"[""V2STRAT0121"", ""V2STRAT0122""]"
16,cyclical_defensive_leadership,Cyclical-versus-defensive ETF leadership,pre_2011_evidence,3,high_mechanism_or_method; direct_SPY_timing_evidence_varies,fully_specified_after_close_t,medium_after_fixed_ETF_adapter,high; score/event maps symmetrically to persistent +1/-1,2,Recent systematic evidence is negative; sector relationships can be regime-specific and noncausal stories are easy to invent.,B,Cyclical leadership is a direct market-risk appetite proxy; pairs and horizons are fully fixed.,6,"[""V2STRAT0109"", ""V2STRAT0110""]"
17,tail_imbalance,Robust tail-event state,pre_2011_evidence,2,high_mechanism_or_method; direct_SPY_timing_evidence_varies,fully_specified_after_close_t,high,high; score/event maps symmetrically to persistent +1/-1,2,Tail thresholds are sparse and can concentrate performance in a few crises.,C,Large robustly standardized tails are tested as reversal events with state persistence.,6,"[""V2STRAT0043"", ""V2STRAT0044""]"
18,amihud_price_impact,Signed Amihud-style price impact,pre_2011_evidence,2,high_mechanism_or_method; direct_SPY_timing_evidence_varies,fully_specified_after_close_t,high,high; score/event maps symmetrically to persistent +1/-1,2,A liquid index ETF has changing market structure; the measure may mostly capture early-sample scale changes.,C,Moves occurring with lower dollar volume receive more weight as potential price-impact states.,6,"[""V2STRAT0097"", ""V2STRAT0098""]"
19,volatility_of_volatility,Volatility-of-volatility conditioned direction,post_2010_research,1,high_mechanism_or_method; direct_SPY_timing_evidence_varies,fully_specified_after_close_t,high,high; score/event maps symmetrically to persistent +1/-1,3,The sign convention is exploratory and post-2010 evidence cannot establish pre-2011 validity.,C,Instability of volatility may distinguish orderly trend from disorderly transition; both mappings are tested.,6,"[""V2STRAT0049"", ""V2STRAT0050""]"
20,cross_asset_etf_risk_appetite,Fixed-ETF risk-appetite leadership,pre_2011_evidence,1,high_mechanism_or_method; direct_SPY_timing_evidence_varies,fully_specified_after_close_t,medium_after_fixed_ETF_adapter,high; score/event maps symmetrically to persistent +1/-1,2,Different ETFs start on different dates and dividends are deliberately excluded from predictor ratios; history is limited.,C,"Relative performance of growth, small caps, Dow and Treasury ETFs supplies predeclared cross-market information.",6,"[""V2STRAT0115"", ""V2STRAT0116""]"
21,equal_weight_concentration,Equal-weight versus cap-weight leadership,post_2010_research,1,high_mechanism_or_method; direct_SPY_timing_evidence_varies,fully_specified_after_close_t,medium_after_fixed_ETF_adapter,high; score/event maps symmetrically to persistent +1/-1,1,"RSP starts in 2003, leaving very little train history; this family may fail minimum-length gates.",C,Equal-weight leadership is a directly observable proxy for broad participation and concentration.,6,"[""V2STRAT0127"", ""V2STRAT0128""]"
22,skewness_state,Rolling return skewness state,pre_2011_evidence,2,high_mechanism_or_method; direct_SPY_timing_evidence_varies,fully_specified_after_close_t,high,high; score/event maps symmetrically to persistent +1/-1,2,Skew is noisy in small windows and strongly influenced by one observation.,C,Rolling asymmetry may identify persistent positive or negative tail states; both directional interpretations are declared.,6,"[""V2STRAT0037"", ""V2STRAT0038""]"
23,cusum_change_state,Two-sided Page CUSUM direction state,pre_2011_evidence,3,high_mechanism_or_method; direct_SPY_timing_evidence_varies,fully_specified_after_close_t,high,high; score/event maps symmetrically to persistent +1/-1,4,CUSUM calibration is not finance-specific and can overreact to volatility shifts; no retrospective break dating is allowed.,C,Sequential change detection supplies a state machine distinct from fixed lookback momentum.,6,"[""V2STRAT0133"", ""V2STRAT0134""]"
24,causal_shallow_tree,Frozen causal shallow decision tree,pre_2011_evidence,1,high_mechanism_or_method; direct_SPY_timing_evidence_varies,fully_specified_after_close_t,high,high; score/event maps symmetrically to persistent +1/-1,6,"Even shallow ML can overfit a short train; model settings, features and monthly refit are immutable and validation cannot tune them.",C,A shallow tree permits only a small number of interpretable interactions among ten fixed causal features.,6,"[""V2STRAT0139"", ""V2STRAT0140""]"
