rank,family_id,family_name,evidence_track,primary_source_count,evidence_quality,daily_causality,free_data_feasibility,direct_plus_minus_one_fit,complexity,principal_failure_modes,priority_tier,reason_for_rank,candidate_count,top_candidate_ids
13,realized_volatility_state,Realized-volatility shock state,pre_2011_evidence,16,high,high,medium,medium,2,volatility alone has ambiguous directional sign,B,Useful state variable; paired continuation/reversal variants expose ambiguity.,6,"[""STRAT0073"", ""STRAT0074"", ""STRAT0075""]"
14,yield_curve_regime,Yield-curve regime,pre_2011_evidence,16,high,high,high,high,1,long lead; zero-lower-bound regime change,B,Highly interpretable slow risk state with official daily data.,6,"[""STRAT0079"", ""STRAT0080"", ""STRAT0081""]"
15,credit_spread_regime,Credit-spread widening/tightening,pre_2011_evidence,10,high,high,high,high,1,late signals; provider revisions,B,Credit risk appetite has direct risk-on/risk-off sign.,6,"[""STRAT0085"", ""STRAT0086"", ""STRAT0087""]"
16,financial_conditions_regime,Financial-conditions state,post_2010_research,10,high,medium,high,high,2,historical revisions; composite opacity,B,Economically strong but point-in-time reconstruction is difficult.,6,"[""STRAT0091"", ""STRAT0092"", ""STRAT0093""]"
17,correlation_dispersion_proxy,Sector correlation/dispersion proxy,pre_2011_evidence,2,high,medium,medium_high,high,3,ETF inception; proxy not S&P point-in-time constituents,C,Conceptually useful internal-risk state with substantial data caveats.,6,"[""STRAT0097"", ""STRAT0098"", ""STRAT0099""]"
18,breadth_trend_proxy,Exchange breadth trend proxy,pre_2011_evidence,21,medium,low_medium,high,high,2,not S&P-specific; archive definition changes,C,"Participation may confirm direction, but free data are proxies.",6,"[""STRAT0103"", ""STRAT0104"", ""STRAT0105""]"
19,breadth_thrust_proxy,Exchange breadth thrust proxy,pre_2011_evidence,8,medium,low_medium,high,high,2,threshold mining; non-equivalent exchanges,C,Extreme participation is directional but data provenance is weaker.,6,"[""STRAT0109"", ""STRAT0110"", ""STRAT0111""]"
20,cross_asset_risk_off,Cross-asset risk-off score,pre_2011_evidence,10,medium_high,medium_high,high,high,2,time zones; ETF inception; changing correlations,C,Fixed score captures credit/rates/dollar/commodity state.,6,"[""STRAT0115"", ""STRAT0116"", ""STRAT0117""]"
21,monetary_inflation_regime,Monetary and inflation regime,pre_2011_evidence,17,high,high,medium_high,high,2,release revisions; ambiguous equity sign,C,Slow causal state with explicit real-time joins.,6,"[""STRAT0121"", ""STRAT0122"", ""STRAT0123""]"
22,valuation_equity_premium,Constrained equity-premium forecast,pre_2011_evidence,18,high,medium_high,medium,medium,3,weak signal; rare shorts; vintage risk,C,Strong research debate and explicit negative evidence demand lower priority.,6,"[""STRAT0127"", ""STRAT0128"", ""STRAT0129""]"
23,sentiment_positioning,Sentiment and positioning,pre_2011_evidence,10,medium_high,medium,medium,medium,2,sign depends on horizon; publication lag,C,Useful secondary state; paired continuation/contrarian variants.,6,"[""STRAT0133"", ""STRAT0134"", ""STRAT0135""]"
24,calendar_seasonality,Calendar seasonality,pre_2011_evidence,5,medium,high,high,high,1,large anomaly zoo; decay after publication,C,"Causal and cheap, but multiplicity is severe.",6,"[""STRAT0139"", ""STRAT0140"", ""STRAT0141""]"
25,overnight_futures_proxy,SPY overnight/gap directional proxy,pre_2011_evidence,15,medium_high,high,medium_high,high,2,adjusted-open/corporate-action errors; gap sign instability; SPY proxy omits futures-only information,D,Free executable variants use audited SPY overnight gaps; paid ES history remains excluded rather than silently substituted.,6,"[""STRAT0145"", ""STRAT0146"", ""STRAT0147""]"
26,markov_regime_filtered,Filtered two-state regime model,pre_2011_evidence,4,high,high,high,high,4,state instability; local maxima; smoothed-probability lookahead,D,Causal only with filtered probabilities and strong complexity penalty.,6,"[""STRAT0151"", ""STRAT0152"", ""STRAT0153""]"
27,regularized_logit,Nested elastic-net logistic direction model,post_2010_research,9,high,high,high,high,5,feature mining; hyperparameter leakage; instability,D,"Interpretable ML baseline, not a black box; train-only nested tuning.",6,"[""STRAT0157"", ""STRAT0158"", ""STRAT0159""]"
28,volatility_conditioned_trend,Trend adjusted by volatility state,post_2010_research,30,high,high,medium_high,high,2,directional sign not same as exposure scaling,D,"Volatility may condition trend reliability, but exposure remains exactly one.",6,"[""STRAT0163"", ""STRAT0164"", ""STRAT0165""]"
