task_id,repository_id,base_ref,base_sha,working_branch,planned_files,acceptance_command,expected_result,acceptance_workflow,merge_dependency,rollback_command_or_manifest
PREV7-0208,trading-optimizer-lab-org/aurora,refs/heads/main,78202c3461fdcb343313f39923fd6aabd8e4c3dd,gtbi-readiness-state/g3b-preservation-owner-v1,"[""docs/readiness/gtbi-v7/g3b_preservation_owner_live_receipt.json"",""docs/readiness/gtbi-v7/v6_preservation_lease_public_receipt.json"",""docs/readiness/gtbi-v7/owner_simplification_directive.json"",""docs/readiness/gtbi-v7/owner_decisions.json""]",,Verified GitHub preservation lease and restore procedure,gtbi-v7-master-plan-quality.yml,transition-manifest:g3b-preservation-owner-v1,append-only correction manifest
PREV7-0209,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,"Automated final-architecture threat checks, local-run guard digest/negative tests and zero unresolved critical/high risks accepted by the owner",gtbi-v7-master-plan-quality.yml,,
PREV7-0210,trading-optimizer-lab-org/aurora,refs/heads/main,dfb68f34b5f9746325cf43317b134bb1ab6326aa,gtbi-readiness-state/g3a-owner-auth-close-v1,"[""docs/readiness/gtbi-v7/g3a_owner_auth_completion_receipt.json"",""docs/readiness/gtbi-v7/owner_simplification_directive.json"",""docs/readiness/gtbi-v7/owner_decisions.json"",""docs/readiness/gtbi-v7/g0_owner_controlled_foundation_report.json"",""docs/readiness/gtbi-v7/g3a_github_live_receipt.json"",""docs/readiness/gtbi-v7/frozen_data_lake_github_release_receipt.json"",""docs/readiness/gtbi-v7/github_packages_inventory_receipt.json""]",,"Exact source App installations and complete GitHub environment set authorized by the owner; destination-owned `gtbi-dependency-extract` remains an uninstalled keyless request until PREV7-0308, disposable repositories remain owner-created through the isolated-org ceremony and locked access stays disabled",gtbi-v7-master-plan-quality.yml,transition-manifest:g3a-owner-auth-close-v1,append-only correction manifest
PREV7-0301,trading-optimizer-lab-org/aurora,refs/heads/main,f972d19e90113201ef2a773d8348923255d13e68,gtbi-readiness-state/g2-retention-policy-v1,"[""docs/readiness/gtbi-v7/g2_retention_policy_receipt.json"",""docs/readiness/gtbi-v7/migration_duration_evidence.json"",""docs/readiness/gtbi-v7/owner_decisions.json"",""docs/readiness/gtbi-v7/billing_baseline_public_receipt.json""]",,"Production asset, funded-retention and exact RPO/RTO policy finalized with recurring review owner and expiry",gtbi-v7-master-plan-quality.yml,transition-manifest:g2-retention-policy-v1,append-only correction manifest
PREV7-0302,trading-optimizer-lab-org/aurora,refs/heads/main,42c1ea844692de30c5ab52519ebce6c6638df988,gtbi-readiness-state/g2-provider-terms-acceptance-v1,"[""docs/readiness/gtbi-v7/g2_provider_terms_acceptance_receipt.json"",""docs/readiness/gtbi-v7/provider_terms_inventory.json"",""docs/readiness/gtbi-v7/provider_terms_review.md"",""docs/readiness/gtbi-v7/owner_decisions.json"",""docs/readiness/gtbi-v7/owner_simplification_directive.json"",""docs/readiness/gtbi-v7/local_data_lake_receipt.json"",""docs/readiness/gtbi-v7/frozen_data_lake_github_release_receipt.json""]",,Versioned provider/data terms inventory plus repository-owner acceptance,gtbi-v7-master-plan-quality.yml,transition-manifest:g2-provider-terms-acceptance-v1,append-only correction manifest
PREV7-0303,trading-optimizer-lab-org/aurora,refs/heads/main,426533b7248602e054179049bcb53bd4f59e2464,gtbi-readiness-state/g2-scientific-asset-contract-v1,"[""docs/readiness/gtbi-v7/g2_scientific_asset_contract_receipt.json"",""docs/readiness/gtbi-v7/owner_simplification_directive.json""]",,"Versioned transport-classified `scientific_asset_manifest_v1` schema, registered hash domain, lifecycle/nullability validator and immutable-wrapper fixtures",gtbi-v7-master-plan-quality.yml,transition-manifest:g2-scientific-asset-contract-v1,append-only correction manifest
PREV7-0304,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,Emergency V6 archive promoted to production policy,gtbi-v7-master-plan-quality.yml,,
PREV7-0305,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,Clean-runner restoration proof,gtbi-v7-master-plan-quality.yml,,
PREV7-0306,trading-optimizer-lab-org/aurora,refs/heads/main,9beb98c960f9356fe706c1f987cd3d336dbd5781,gtbi-readiness-state/g2-reproducibility-classification-v1,"[""docs/readiness/gtbi-v7/g2_reproducibility_classification_receipt.json"",""docs/readiness/gtbi-v7/v6_dependency_recovery_report.json"",""docs/readiness/gtbi-v7/owner_simplification_directive.json""]",,Reproducibility classification,gtbi-v7-master-plan-quality.yml,transition-manifest:g2-reproducibility-classification-v1,append-only correction manifest
PREV7-0307,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,"Authenticated V6 input identity, or hashed no-V7-baseline decision plus separately scoped future-reference proposal that leaves G5/full blocked",gtbi-v7-master-plan-quality.yml,,
PREV7-0308,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,"Independently administered destination foundation, account-root/payer/key-custodian receipts, storage and lease registry; destination-owned `gtbi-dependency-extract` App, GitHub-generated private key securely imported into its destination broker, source-owner selected-repository installations and restore-ready control plane",gtbi-v7-master-plan-quality.yml,,
PREV7-0309,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,"Versioned GitHub Actions acceptable-use and pricing envelope, selected `CAPACITY_TOPOLOGY`, current capacity/source receipt and control reserves",gtbi-v7-master-plan-quality.yml,,
PREV7-0310,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,Final pre-authorization dependency and exact execution-commit copy plus total-primary-loss restore proof,gtbi-v7-master-plan-quality.yml,,
PREV7-0400,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,"Complete resumable GitHub artifact, release and package inventory",gtbi-v7-master-plan-quality.yml,,
PREV7-0401,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,Workflow and branch registry,gtbi-v7-master-plan-quality.yml,,
PREV7-0402,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,Worktree and dirty-change registry,gtbi-v7-master-plan-quality.yml,,
PREV7-0403,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,Preservation decision for every dirty worktree,gtbi-v7-master-plan-quality.yml,,
PREV7-0404,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,Fresh primary editing clone,gtbi-v7-master-plan-quality.yml,,
PREV7-0405,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,One active worktree per active branch,gtbi-v7-master-plan-quality.yml,,
PREV7-0406,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,Post-campaign quarantine plan and durable restore proof for redundant copies,gtbi-v7-master-plan-quality.yml,,
PREV7-0407,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,Approved deletion after grace period,gtbi-v7-master-plan-quality.yml,,
PREV7-0501,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,New branch from freshly fetched `origin/main` containing or postdating the exact PR-20 disposition,gtbi-v7-master-plan-quality.yml,,
PREV7-0502,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,"PR 20 resolved or replaced on `main`, with exact disposition receipt",gtbi-v7-master-plan-quality.yml,,
PREV7-0503,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,Independently approved frozen scientific contract,gtbi-v7-master-plan-quality.yml,,
PREV7-0504,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,"Immutable forward proposal, two required approval receipts and non-circular activation record when available, otherwise hashed and attested no-forward decision",gtbi-v7-master-plan-quality.yml,,
PREV7-0505,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,Synthetic semantic oracle plus authenticated scientific-reviewer acceptance receipt,gtbi-v7-master-plan-quality.yml,,
PREV7-0506,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,Historical golden baseline,gtbi-v7-master-plan-quality.yml,,
PREV7-0507,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,Versioned result schemas,gtbi-v7-master-plan-quality.yml,,
PREV7-0508,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,Output-consumer registry and migration tests against the frozen inventory digest and cutoff,gtbi-v7-master-plan-quality.yml,,
PREV7-0509,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,"Permanent output-consumer remediation controller and immutable child-generation registry, accepted by the scientific reviewer; normally done with zero open children",gtbi-v7-master-plan-quality.yml,,
PREV7-0601,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,FeatureStore ADR accepted and GTBI modules extracted behind its single authoritative interface,gtbi-v7-master-plan-quality.yml,,
PREV7-0602,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,Thin CLI wrappers,gtbi-v7-master-plan-quality.yml,,
PREV7-0603,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,Canonical root-level workflows,gtbi-v7-master-plan-quality.yml,,
PREV7-0604,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,Central GitHub-only execution guard,gtbi-v7-master-plan-quality.yml,,
PREV7-0605,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,"Deterministic one/two/four-worker execution, registered scientific-numerical semantics, approved execution-profile registry and byte-equivalence policy/report selected from the frozen representative baseline",gtbi-v7-master-plan-quality.yml,,
PREV7-0606,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,Equivalent event-first optimizations selected from the frozen representative baseline profile,gtbi-v7-master-plan-quality.yml,,
PREV7-0607,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,"Benchmarked candidate-major/symbol-major/hybrid physical tiling, exact pair-set coverage, cost scheduling, execution plan/profile assignment and durable checkpoints",gtbi-v7-master-plan-quality.yml,,
PREV7-0608,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,"Hierarchical deterministic fragment reduction/merge with exact global/tile/bundle pair-set closure, complete execution/hardware profile maps and canonical timing attribution, plus protected `gtbi-v7-package-close.yml`, its registration check and task-delivery-manifest mapping",gtbi-v7-master-plan-quality.yml,,
PREV7-0609,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,"Baseline runtime/scientific instrumentation, source/workflow identity manifests, approved hardware-profile registry, runtime-threadpool observation and canonical-attribution schemas, representative cost/profile evidence and frozen optimization evidence; post-optimization telemetry equivalence is accepted later by PREV7-0703",gtbi-v7-master-plan-quality.yml,,
PREV7-0610,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,"Reproducible source deadman, broker, authoritative attempt/lease registries, monitoring, exact root/payer/key-custodian/witness receipts, restore and teardown proof",gtbi-v7-master-plan-quality.yml,,
PREV7-0611,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,"Independently administered destination deadman, broker, lease registry, monitoring, exact root/payer/key-custodian/witness receipts, restore and teardown proof",gtbi-v7-master-plan-quality.yml,,
PREV7-0701,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,Required credential-free synthetic CI suite,gtbi-v7-master-plan-quality.yml,,
PREV7-0702,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,Equivalence proof on the authorized G7 validation repository,gtbi-v7-master-plan-quality.yml,,
PREV7-0703,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,"One, two and four worker benchmark",gtbi-v7-master-plan-quality.yml,,
PREV7-0704,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,Ordered recovery-then-merge-only proof with distinct immutable phase receipts,gtbi-v7-master-plan-quality.yml,,
PREV7-0705,trading-optimizer-lab-org/aurora,refs/heads/main,56251bbdd76a994b5032b912e9266253af3f4091,codex/gtbi-v7-master-plan-bootstrap,[],,Fault-injection proof plus exact G7 ephemeral-key handoff runtime receipt,gtbi-v7-master-plan-quality.yml,,
